index,Year,State,Smoke everyday,Smoke some days,Former smoker,Never smoked,Location 1
505,2003,Iowa,16.2%,5.4%,24.5%,53.8%,"Iowa
(42.469390000048634, -93.81649000001335)"
506,1998,North Dakota,17%,3%,28.2%,51.8%,"North Dakota
(47.475320000018144, -100.11841999998285)"
507,2002,North Dakota,16.4%,5.1%,26.5%,52%,"North Dakota
(47.475320000018144, -100.11841999998285)"
508,2010,South Carolina,14%,7%,24.1%,54.9%,"South Carolina
(33.99855000018255, -81.0452500001872)"
509,2006,Delaware,16.7%,5.1%,27.3%,50.9%,"Delaware
(39.00883000020451, -75.57774000040052)"
510,2002,Indiana,23%,4.7%,23.3%,49.1%,"Indiana
(39.76690999989677, -86.14996000035359)"
511,2003,Mississippi,19.7%,5.8%,20.7%,53.8%,"Mississippi
(32.7455100000866, -89.53803000008429)"
512,1995,South Dakota,19.8%,1.9%,24%,54.2%,"South Dakota
(44.353130000049646, -100.37353000040906)"
513,1996,Mississippi,19.7%,3.5%,21.1%,55.7%,"Mississippi
(32.7455100000866, -89.53803000008429)"
514,1998,Utah,10.5%,3.7%,18.7%,67.1%,"Utah
(39.36070000030492, -111.58712999994941)"
515,2003,Tennessee,21.1%,4.5%,18.9%,55.4%,"Tennessee
(35.68094000038087, -85.77449000011325)"
516,2009,Illinois,12%,6.6%,23.1%,58.3%,"Illinois
(40.485010000411364, -88.99770999971656)"
517,1998,Nebraska,17.4%,4.6%,24.4%,53.5%,"Nebraska
(41.6410400000961, -99.36572999973953)"
518,2005,Oregon,13.4%,5.1%,27.4%,54%,"Oregon
(44.567449999917756, -120.15502999983448)"
519,1999,Arizona,17.9%,2.2%,17.8%,62.1%,"Arizona
(34.86596999961597, -111.76380999973156)"
520,1998,Wisconsin,18.7%,4.7%,29.4%,47.2%,"Wisconsin
(44.39319000021851, -89.81636999977553)"
521,2009,Vermont,12.5%,4.6%,31.6%,51.3%,"Vermont
(43.625379999687425, -72.51764000028561)"
522,2003,Wisconsin,17.3%,4.7%,27.3%,50.7%,"Wisconsin
(44.39319000021851, -89.81636999977553)"
523,2010,Oregon,11%,4.1%,28.2%,56.7%,"Oregon
(44.567449999917756, -120.15502999983448)"
524,2003,Arkansas,20.5%,4.2%,25.4%,49.8%,"Arkansas
(34.748649999697875, -92.27448999971358)"
525,2001,Idaho,15.2%,4.4%,24.4%,56%,"Idaho
(43.682590000228515, -114.36368000023168)"
526,2006,North Carolina,17%,5.1%,24.1%,53.9%,"North Carolina
(35.46624999963797, -79.1593199999179)"
527,2004,Ohio,20.8%,5%,22.1%,52%,"Ohio
(40.06020999969189, -82.40426000019869)"
528,1997,Florida,19.8%,3.8%,26.4%,50%,"Florida
(28.932039999846268, -81.9289599999039)"
529,1997,Wisconsin,19.7%,3.5%,25.3%,51.5%,"Wisconsin
(44.39319000021851, -89.81636999977553)"
530,2003,Florida,17.4%,6.5%,26.8%,49.3%,"Florida
(28.932039999846268, -81.9289599999039)"
531,2009,Arizona,11%,5.1%,26%,57.8%,"Arizona
(34.86596999961597, -111.76380999973156)"
532,2003,Minnesota,15.9%,5.2%,28.3%,50.6%,"Minnesota
(46.3556499998478, -94.79419999982997)"
533,2005,Kansas,13.6%,4.2%,24.4%,57.8%,"Kansas
(38.34774000000118, -98.20077999969709)"
534,2004,Colorado,13.8%,6.2%,24.4%,55.6%,"Colorado
(38.842890000173554, -106.13314000041055)"
535,1999,Missouri,22.7%,4.3%,24.7%,48.2%,"Missouri
(38.63578999960896, -92.5663000000448)"
536,2008,Colorado,12.3%,5.4%,24.9%,57.5%,"Colorado
(38.842890000173554, -106.13314000041055)"
537,1998,Connecticut,15.3%,5.6%,28.2%,50.9%,"Connecticut
(41.56265999995918, -72.6498400002157)"
538,1996,California,13%,5.6%,25%,56.4%,"California
(37.638300000444815, -120.99958999997835)"
539,2006,Iowa,17.1%,4.3%,23.7%,54.8%,"Iowa
(42.469390000048634, -93.81649000001335)"
540,2009,North Carolina,14.4%,5.9%,26.2%,53.5%,"North Carolina
(35.46624999963797, -79.1593199999179)"
541,2010,New Hampshire,12.4%,4.5%,30.7%,52.4%,"New Hampshire
(43.65595000019255, -71.50036000041354)"
542,2005,New Hampshire,15.4%,5%,29.5%,50.1%,"New Hampshire
(43.65595000019255, -71.50036000041354)"
543,2005,Hawaii,12.1%,4.9%,26.2%,56.8%,"Hawaii
(21.304850000427336, -157.85774999956269)"
544,2005,Nebraska,16.1%,5.2%,22.7%,56.1%,"Nebraska
(41.6410400000961, -99.36572999973953)"
545,2002,Kansas,17.6%,4.5%,24.3%,53.6%,"Kansas
(38.34774000000118, -98.20077999969709)"
546,1995,West Virginia,23.7%,1.9%,23.3%,51.1%,"West Virginia
(38.66550999958696, -80.71263999973604)"
547,2004,Georgia,15%,5%,20.9%,59.1%,"Georgia
(32.83967999993223, -83.62758000031658)"
548,2007,Utah,8.3%,3.4%,15.8%,72.5%,"Utah
(39.36070000030492, -111.58712999994941)"
549,2009,Kentucky,20.6%,5%,25.3%,49.1%,"Kentucky
(37.645969999815804, -84.77496999996538)"
550,1997,Maine,19.8%,2.9%,31%,46.3%,"Maine
(45.25423000041434, -68.9850299999344)"
551,2006,Colorado,12.3%,5.6%,24.5%,57.6%,"Colorado
(38.842890000173554, -106.13314000041055)"
552,2008,New Hampshire,12.8%,4.2%,31.1%,51.9%,"New Hampshire
(43.65595000019255, -71.50036000041354)"
553,1998,Oklahoma,20.2%,3.6%,19.6%,56.5%,"Oklahoma
(35.4720099999617, -97.52034999975251)"
554,2000,Mississippi,18.8%,4.7%,20.5%,56%,"Mississippi
(32.7455100000866, -89.53803000008429)"
555,2007,New Mexico,13.1%,7.6%,24.8%,54.4%,"New Mexico
(34.52088000011207, -106.24057999976702)"
556,2009,Minnesota,11.3%,5.5%,26.4%,56.8%,"Minnesota
(46.3556499998478, -94.79419999982997)"
557,2004,North Carolina,17.6%,5.5%,21.2%,55.6%,"North Carolina
(35.46624999963797, -79.1593199999179)"
558,2010,Delaware,12.8%,4.5%,26.8%,56%,"Delaware
(39.00883000020451, -75.57774000040052)"
559,2003,Idaho,15%,4%,23.5%,57.6%,"Idaho
(43.682590000228515, -114.36368000023168)"
560,1998,Washington,16.9%,4.5%,27.6%,51.1%,"Washington
(47.522280000022135, -120.47001000026114)"
561,2004,Utah,7.8%,2.7%,15.8%,73.8%,"Utah
(39.36070000030492, -111.58712999994941)"
562,2007,Kentucky,23.5%,4.7%,23.9%,47.9%,"Kentucky
(37.645969999815804, -84.77496999996538)"
563,1995,Massachusetts,18.8%,2.8%,30%,48.4%,"Massachusetts
(42.27687000005062, -72.08269000004333)"
564,2009,Delaware,13.3%,5%,28.4%,53.4%,"Delaware
(39.00883000020451, -75.57774000040052)"
565,2000,Alaska,18.6%,6.4%,28.1%,46.8%,"Alaska
(64.84507999974238, -147.72205999986895)"
566,2001,Louisiana,19%,5.6%,19.9%,55.4%,"Louisiana
(31.31265999975932, -92.44567999993188)"
567,2008,Kentucky,20.5%,4.7%,25.3%,49.5%,"Kentucky
(37.645969999815804, -84.77496999996538)"
568,1996,West Virginia,23.9%,2.8%,22.9%,50.5%,"West Virginia
(38.66550999958696, -80.71263999973604)"
569,2010,Hawaii,10.7%,3.8%,25.3%,60.2%,"Hawaii
(21.304850000427336, -157.85774999956269)"
570,2001,Minnesota,16.9%,5.3%,28.3%,49.5%,"Minnesota
(46.3556499998478, -94.79419999982997)"
571,2000,North Dakota,17.5%,5.8%,23.4%,53.4%,"North Dakota
(47.475320000018144, -100.11841999998285)"
572,1999,Florida,16.3%,4.3%,26.8%,52.6%,"Florida
(28.932039999846268, -81.9289599999039)"
573,2001,Oklahoma,23.1%,5.6%,21.8%,49.5%,"Oklahoma
(35.4720099999617, -97.52034999975251)"
574,2000,Virginia,16.1%,5.3%,23.3%,55.3%,"Virginia
(37.54268000028196, -78.45789000012326)"
575,1998,Montana,18.5%,2.9%,26.7%,51.8%,"Montana
(47.06653000015956, -109.42441999998289)"
576,1997,Oregon,16.2%,4.5%,30.4%,48.9%,"Oregon
(44.567449999917756, -120.15502999983448)"
577,2004,New Mexico,13.2%,7.1%,24.1%,55.6%,"New Mexico
(34.52088000011207, -106.24057999976702)"
578,2002,Maryland,16.3%,5.6%,23.7%,54.4%,"Maryland
(39.29057999976732, -76.6092600004485)"
579,2000,Utah,9.6%,3.3%,18.4%,68.8%,"Utah
(39.36070000030492, -111.58712999994941)"
580,2008,New York,11.8%,5%,25.4%,57.8%,"New York
(42.82699999955048, -75.54396999981549)"
581,2002,New Jersey,14%,5%,26%,55%,"New Jersey
(40.13056999960594, -74.2736899996936)"
582,2004,New Hampshire,16.5%,5.1%,28.5%,49.8%,"New Hampshire
(43.65595000019255, -71.50036000041354)"
583,2009,Pennsylvania,15.1%,5.1%,26%,53.7%,"Pennsylvania
(40.79372999993973, -77.86069999960512)"
584,1997,Hawaii,14.3%,4.4%,26.4%,54.9%,"Hawaii
(21.304850000427336, -157.85774999956269)"
585,2003,Washington,14.6%,5%,26.2%,54.2%,"Washington
(47.522280000022135, -120.47001000026114)"
586,1999,South Dakota,17.6%,4.8%,25.1%,52.4%,"South Dakota
(44.353130000049646, -100.37353000040906)"
587,2006,Tennessee,18.4%,4.1%,23.5%,53.9%,"Tennessee
(35.68094000038087, -85.77449000011325)"
588,2000,Wisconsin,18.1%,6%,27.1%,48.8%,"Wisconsin
(44.39319000021851, -89.81636999977553)"
589,2008,Louisiana,16%,4.5%,19.9%,59.7%,"Louisiana
(31.31265999975932, -92.44567999993188)"
590,1998,Arizona,19.8%,2.1%,17.3%,60.9%,"Arizona
(34.86596999961597, -111.76380999973156)"
591,1997,Massachusetts,16.4%,4.1%,29.7%,49.8%,"Massachusetts
(42.27687000005062, -72.08269000004333)"
592,1999,Kansas,18.1%,3%,22.5%,56.4%,"Kansas
(38.34774000000118, -98.20077999969709)"
593,1996,Vermont,18.9%,5.2%,29.2%,46.7%,"Vermont
(43.625379999687425, -72.51764000028561)"
594,2006,Kansas,15.2%,4.8%,24.1%,55.9%,"Kansas
(38.34774000000118, -98.20077999969709)"
595,2002,West Virginia,23.8%,4.7%,24.2%,47.4%,"West Virginia
(38.66550999958696, -80.71263999973604)"
596,2005,Arizona,13.7%,6.6%,25.5%,54.3%,"Arizona
(34.86596999961597, -111.76380999973156)"
597,2008,Kansas,13.2%,4.7%,23.2%,59%,"Kansas
(38.34774000000118, -98.20077999969709)"
598,2003,Rhode Island,17.2%,5.1%,29.1%,48.5%,"Rhode Island
(41.70828000002217, -71.5224700001902)"
599,2000,Indiana,22.4%,4.6%,22.6%,50.5%,"Indiana
(39.76690999989677, -86.14996000035359)"
600,2000,Connecticut,15.3%,4.6%,27.8%,52.3%,"Connecticut
(41.56265999995918, -72.6498400002157)"
601,2003,Georgia,16.5%,6.2%,21.7%,55.6%,"Georgia
(32.83967999993223, -83.62758000031658)"
602,1995,Maryland,18%,3.1%,20.6%,58.3%,"Maryland
(39.29057999976732, -76.6092600004485)"
603,2004,Wyoming,16.5%,5.2%,24.9%,53.4%,"Wyoming
(43.23553999957147, -108.10982999975454)"
604,1999,Kentucky,25.6%,4.2%,23.2%,47.1%,"Kentucky
(37.645969999815804, -84.77496999996538)"
605,1999,Hawaii,14.4%,4.1%,22.9%,58.6%,"Hawaii
(21.304850000427336, -157.85774999956269)"
606,2008,Idaho,12.5%,4.4%,21.9%,61.2%,"Idaho
(43.682590000228515, -114.36368000023168)"
607,2009,Missouri,18.3%,4.8%,24.8%,52.1%,"Missouri
(38.63578999960896, -92.5663000000448)"
608,2006,Missouri,18.6%,4.6%,26.8%,50%,"Missouri
(38.63578999960896, -92.5663000000448)"
609,2008,Maine,14%,4.1%,31.7%,50.1%,"Maine
(45.25423000041434, -68.9850299999344)"
610,2009,District of Columbia,9.1%,6.2%,24.2%,60.6%,"District of Columbia
(38.89036999987576, -77.03195999965413)"
611,2010,Texas,10.5%,5.3%,21.3%,62.9%,"Texas
(31.82724000022597, -99.42676999973554)"
612,2007,Idaho,14.5%,4.6%,22.6%,58.3%,"Idaho
(43.682590000228515, -114.36368000023168)"
613,1996,Michigan,21%,4.7%,25.9%,48.5%,"Michigan
(44.661320000317914, -84.71438999959867)"
614,2001,Connecticut,14.9%,5.8%,28.9%,50.5%,"Connecticut
(41.56265999995918, -72.6498400002157)"
615,1996,Georgia,17.3%,3%,14.2%,65.6%,"Georgia
(32.83967999993223, -83.62758000031658)"
616,2002,Massachusetts,14.4%,4.5%,29.1%,52%,"Massachusetts
(42.27687000005062, -72.08269000004333)"
617,1996,Illinois,20.4%,4.4%,23.4%,51.8%,"Illinois
(40.485010000411364, -88.99770999971656)"
618,2008,Pennsylvania,15.6%,5.7%,25.3%,53.3%,"Pennsylvania
(40.79372999993973, -77.86069999960512)"
619,2005,Alaska,18.8%,6.2%,23.8%,51.2%,"Alaska
(64.84507999974238, -147.72205999986895)"
620,2004,California,10%,4.7%,24.2%,61.1%,"California
(37.638300000444815, -120.99958999997835)"
621,1998,Virginia,18.1%,4.8%,23.2%,53.9%,"Virginia
(37.54268000028196, -78.45789000012326)"
622,1996,North Dakota,19.5%,3.9%,25.5%,51.2%,"North Dakota
(47.475320000018144, -100.11841999998285)"
623,1997,California,12.6%,5.9%,26.9%,54.6%,"California
(37.638300000444815, -120.99958999997835)"
624,2004,Minnesota,15.2%,5.5%,26.8%,52.5%,"Minnesota
(46.3556499998478, -94.79419999982997)"
625,2009,Arkansas,15.5%,5.9%,28.1%,50.4%,"Arkansas
(34.748649999697875, -92.27448999971358)"
626,2008,Oregon,11.8%,4.5%,24.7%,59%,"Oregon
(44.567449999917756, -120.15502999983448)"
627,2010,Minnesota,11.3%,3.6%,25.9%,59.2%,"Minnesota
(46.3556499998478, -94.79419999982997)"
628,2000,Wyoming,18.2%,5.6%,25.1%,51.1%,"Wyoming
(43.23553999957147, -108.10982999975454)"
629,2006,Louisiana,17.7%,5.7%,20.1%,56.4%,"Louisiana
(31.31265999975932, -92.44567999993188)"
630,2002,Nebraska,17.8%,4.9%,22.9%,54.4%,"Nebraska
(41.6410400000961, -99.36572999973953)"
631,2000,Washington,14.8%,5.9%,28.8%,50.5%,"Washington
(47.522280000022135, -120.47001000026114)"
632,2002,Virginia,19.4%,5.3%,22.4%,53%,"Virginia
(37.54268000028196, -78.45789000012326)"
633,2009,Colorado,12.1%,5%,25.5%,57.4%,"Colorado
(38.842890000173554, -106.13314000041055)"
634,1995,Alabama,21.9%,2.1%,21.1%,54.8%,"Alabama
(32.840569999605975, -86.63186000013877)"
635,2000,Hawaii,15.8%,3.9%,24.2%,56.2%,"Hawaii
(21.304850000427336, -157.85774999956269)"
636,2003,Massachusetts,14.5%,4.6%,31%,49.9%,"Massachusetts
(42.27687000005062, -72.08269000004333)"
637,2002,Hawaii,17.1%,3.9%,24.3%,54.7%,"Hawaii
(21.304850000427336, -157.85774999956269)"
638,1999,Alabama,18.1%,5.3%,24.2%,52.3%,"Alabama
(32.840569999605975, -86.63186000013877)"
639,2008,Florida,12.8%,4.7%,26.1%,56.4%,"Florida
(28.932039999846268, -81.9289599999039)"
640,2005,Louisiana,16.4%,6.1%,21%,56.5%,"Louisiana
(31.31265999975932, -92.44567999993188)"
641,2001,District of Columbia,12.2%,8.5%,23.3%,55.9%,"District of Columbia
(38.89036999987576, -77.03195999965413)"
642,1997,Idaho,15.6%,4.3%,24.3%,55.8%,"Idaho
(43.682590000228515, -114.36368000023168)"
643,2010,Pennsylvania,13.4%,5%,26.2%,55.4%,"Pennsylvania
(40.79372999993973, -77.86069999960512)"
644,2004,West Virginia,21.8%,5.1%,25.1%,48%,"West Virginia
(38.66550999958696, -80.71263999973604)"
645,2000,Oregon,15.3%,5.4%,28.3%,50.9%,"Oregon
(44.567449999917756, -120.15502999983448)"
646,2005,New Jersey,12.8%,5.2%,25.5%,56.5%,"New Jersey
(40.13056999960594, -74.2736899996936)"
647,2006,Arizona,12.1%,6.1%,24.9%,56.9%,"Arizona
(34.86596999961597, -111.76380999973156)"
648,2002,California,11.1%,5.3%,23.9%,59.6%,"California
(37.638300000444815, -120.99958999997835)"
649,1998,Oregon,16.3%,4.8%,27.4%,51.6%,"Oregon
(44.567449999917756, -120.15502999983448)"
650,2004,Kansas,15.3%,4.5%,21.7%,58.5%,"Kansas
(38.34774000000118, -98.20077999969709)"
651,2004,New Jersey,13%,5.8%,24.4%,56.8%,"New Jersey
(40.13056999960594, -74.2736899996936)"
652,2004,New York,14.2%,5.7%,24.2%,55.9%,"New York
(42.82699999955048, -75.54396999981549)"
653,1996,Nevada,25.1%,3%,26.8%,45%,"Nevada
(39.49323999972637, -117.07183999971608)"
654,2000,Minnesota,15.2%,4.5%,23.1%,57.1%,"Minnesota
(46.3556499998478, -94.79419999982997)"
655,1999,Minnesota,15.1%,4.4%,20%,60.5%,"Minnesota
(46.3556499998478, -94.79419999982997)"
656,2004,Nevada,16.5%,6.8%,24.4%,52.3%,"Nevada
(39.49323999972637, -117.07183999971608)"
657,2000,Alabama,19.3%,5.9%,24%,50.8%,"Alabama
(32.840569999605975, -86.63186000013877)"
658,1997,Ohio,23.2%,1.9%,22.7%,52.2%,"Ohio
(40.06020999969189, -82.40426000019869)"
659,1995,Arkansas,22.7%,2.3%,23.5%,51.5%,"Arkansas
(34.748649999697875, -92.27448999971358)"
660,2003,North Dakota,16.1%,4.4%,25.6%,53.9%,"North Dakota
(47.475320000018144, -100.11841999998285)"
661,1999,Oklahoma,22.4%,2.8%,18.7%,56.1%,"Oklahoma
(35.4720099999617, -97.52034999975251)"
662,2002,Delaware,19.5%,5.1%,26.3%,49%,"Delaware
(39.00883000020451, -75.57774000040052)"
663,2010,New Mexico,11.4%,7.1%,24.7%,56.9%,"New Mexico
(34.52088000011207, -106.24057999976702)"
664,2009,North Dakota,13.4%,5.2%,24%,57.4%,"North Dakota
(47.475320000018144, -100.11841999998285)"
665,2005,Wisconsin,15.9%,4.9%,26.1%,53.2%,"Wisconsin
(44.39319000021851, -89.81636999977553)"
666,2009,Alabama,16.5%,6%,22.8%,54.6%,"Alabama
(32.840569999605975, -86.63186000013877)"
667,2000,South Dakota,16.8%,5.1%,24.6%,53.5%,"South Dakota
(44.353130000049646, -100.37353000040906)"
668,2004,Maine,17%,3.9%,31.3%,47.8%,"Maine
(45.25423000041434, -68.9850299999344)"
669,1997,South Carolina,20.2%,3.2%,20%,56.6%,"South Carolina
(33.99855000018255, -81.0452500001872)"
670,2002,Utah,9.9%,2.8%,17.1%,70.1%,"Utah
(39.36070000030492, -111.58712999994941)"
671,2002,Oregon,17.3%,5.1%,28.1%,49.4%,"Oregon
(44.567449999917756, -120.15502999983448)"
672,2001,Mississippi,19.6%,5.7%,21.1%,53.6%,"Mississippi
(32.7455100000866, -89.53803000008429)"
673,2003,North Carolina,18.8%,6%,23.2%,52%,"North Carolina
(35.46624999963797, -79.1593199999179)"
674,2009,Indiana,17.1%,6%,23.7%,53.2%,"Indiana
(39.76690999989677, -86.14996000035359)"
675,1999,West Virginia,23.8%,3.3%,23.8%,49%,"West Virginia
(38.66550999958696, -80.71263999973604)"
676,2000,Idaho,16.9%,5.4%,24.6%,53.1%,"Idaho
(43.682590000228515, -114.36368000023168)"
677,1996,Wisconsin,19.7%,5.2%,25.9%,49.2%,"Wisconsin
(44.39319000021851, -89.81636999977553)"
678,1996,Texas,17%,5.9%,21.2%,55.9%,"Texas
(31.82724000022597, -99.42676999973554)"
679,2004,Oregon,14.3%,5.8%,24.7%,55.3%,"Oregon
(44.567449999917756, -120.15502999983448)"
680,2002,Iowa,18.8%,4.3%,23.4%,53.4%,"Iowa
(42.469390000048634, -93.81649000001335)"
681,2004,Mississippi,18.1%,6.5%,19.3%,56.2%,"Mississippi
(32.7455100000866, -89.53803000008429)"
682,1999,Oregon,16.1%,5.4%,28.1%,50.5%,"Oregon
(44.567449999917756, -120.15502999983448)"
683,2006,Maryland,13%,4.7%,22.6%,59.7%,"Maryland
(39.29057999976732, -76.6092600004485)"
684,1998,Maine,19.4%,2.9%,31.3%,46.4%,"Maine
(45.25423000041434, -68.9850299999344)"
685,1996,Colorado,16.7%,6.1%,24.2%,53.1%,"Colorado
(38.842890000173554, -106.13314000041055)"
686,1995,Wyoming,19.1%,2.9%,26.8%,51.2%,"Wyoming
(43.23553999957147, -108.10982999975454)"
687,2001,Michigan,19.7%,5.9%,25.7%,48.7%,"Michigan
(44.661320000317914, -84.71438999959867)"
688,1997,Montana,18%,2.5%,26.6%,52.9%,"Montana
(47.06653000015956, -109.42441999998289)"
689,1996,Idaho,16.8%,4.4%,22.8%,56%,"Idaho
(43.682590000228515, -114.36368000023168)"
690,1999,North Carolina,21%,4.2%,23.2%,51.6%,"North Carolina
(35.46624999963797, -79.1593199999179)"
691,1998,Colorado,17.1%,5.7%,24.3%,52.9%,"Colorado
(38.842890000173554, -106.13314000041055)"
692,2010,Rhode Island,10.9%,4.8%,28.4%,55.9%,"Rhode Island
(41.70828000002217, -71.5224700001902)"
693,2008,Virginia,12.4%,4.1%,24%,59.5%,"Virginia
(37.54268000028196, -78.45789000012326)"
694,1998,Tennessee,22.7%,3.3%,21.5%,52.4%,"Tennessee
(35.68094000038087, -85.77449000011325)"
695,2009,Wyoming,15.3%,4.6%,26.1%,54%,"Wyoming
(43.23553999957147, -108.10982999975454)"
696,1997,Iowa,18.7%,4.4%,24%,52.9%,"Iowa
(42.469390000048634, -93.81649000001335)"
697,1995,Hawaii,15.1%,2.5%,21.6%,60.9%,"Hawaii
(21.304850000427336, -157.85774999956269)"
698,2006,New Mexico,13.8%,6.4%,24.7%,55.1%,"New Mexico
(34.52088000011207, -106.24057999976702)"
699,2008,Nevada,16.4%,5.8%,25.1%,52.7%,"Nevada
(39.49323999972637, -117.07183999971608)"
700,1995,Idaho,18%,1.6%,24.1%,56.2%,"Idaho
(43.682590000228515, -114.36368000023168)"
701,2007,Arizona,13.6%,6.1%,24%,56.2%,"Arizona
(34.86596999961597, -111.76380999973156)"
702,2010,Alaska,13.5%,6.8%,26.1%,53.6%,"Alaska
(64.84507999974238, -147.72205999986895)"
703,2010,Missouri,16.6%,4.4%,26.1%,52.8%,"Missouri
(38.63578999960896, -92.5663000000448)"
704,1996,Massachusetts,18.4%,4.9%,30.4%,46.2%,"Massachusetts
(42.27687000005062, -72.08269000004333)"
705,1995,Vermont,18.9%,3.2%,31.5%,46.5%,"Vermont
(43.625379999687425, -72.51764000028561)"
706,2007,District of Columbia,11.1%,6.1%,22.4%,60.4%,"District of Columbia
(38.89036999987576, -77.03195999965413)"
707,1995,New Jersey,15.3%,3.7%,25.3%,55.7%,"New Jersey
(40.13056999960594, -74.2736899996936)"
708,2004,North Dakota,14.8%,5.1%,23.6%,56.5%,"North Dakota
(47.475320000018144, -100.11841999998285)"
709,2001,Arizona,15.5%,6%,25.4%,53%,"Arizona
(34.86596999961597, -111.76380999973156)"
710,1997,Michigan,21.2%,4.8%,25%,48.9%,"Michigan
(44.661320000317914, -84.71438999959867)"
711,1995,Illinois,19.9%,2.9%,23.7%,53.4%,"Illinois
(40.485010000411364, -88.99770999971656)"
712,2005,North Dakota,15%,5.2%,25.5%,54.4%,"North Dakota
(47.475320000018144, -100.11841999998285)"
713,2010,Washington,11%,4.2%,25.5%,59.3%,"Washington
(47.522280000022135, -120.47001000026114)"
714,2008,Michigan,15%,5.5%,25.5%,54.1%,"Michigan
(44.661320000317914, -84.71438999959867)"
715,1995,Texas,19.9%,3.6%,23.7%,52.8%,"Texas
(31.82724000022597, -99.42676999973554)"
716,2007,Ohio,17.7%,5.4%,24.8%,52.1%,"Ohio
(40.06020999969189, -82.40426000019869)"
717,2010,Georgia,12.8%,4.8%,23.1%,59.3%,"Georgia
(32.83967999993223, -83.62758000031658)"
718,2005,Oklahoma,19%,6%,24%,50.9%,"Oklahoma
(35.4720099999617, -97.52034999975251)"
719,2002,South Dakota,17.5%,5.1%,22.4%,55%,"South Dakota
(44.353130000049646, -100.37353000040906)"
720,1998,Ohio,21.6%,4.5%,23.6%,50.3%,"Ohio
(40.06020999969189, -82.40426000019869)"
721,2003,Nevada,20.3%,4.9%,25.2%,49.7%,"Nevada
(39.49323999972637, -117.07183999971608)"
722,2002,Mississippi,21.4%,5.9%,20%,52.7%,"Mississippi
(32.7455100000866, -89.53803000008429)"
723,1995,Michigan,21.5%,4.1%,28.3%,46.2%,"Michigan
(44.661320000317914, -84.71438999959867)"
724,2006,Washington,12.3%,4.7%,26.4%,56.6%,"Washington
(47.522280000022135, -120.47001000026114)"
725,2007,Oregon,13.1%,3.8%,28.2%,54.9%,"Oregon
(44.567449999917756, -120.15502999983448)"
726,2007,Texas,13%,6.4%,20.7%,60%,"Texas
(31.82724000022597, -99.42676999973554)"
727,2000,Oklahoma,19.8%,3.5%,19.3%,57.4%,"Oklahoma
(35.4720099999617, -97.52034999975251)"
728,2009,South Carolina,14.6%,5.7%,24.5%,55.2%,"South Carolina
(33.99855000018255, -81.0452500001872)"
729,1996,South Dakota,17.9%,2.8%,25.2%,54.1%,"South Dakota
(44.353130000049646, -100.37353000040906)"
730,2009,New Hampshire,11.3%,4.5%,29.4%,54.9%,"New Hampshire
(43.65595000019255, -71.50036000041354)"
731,2009,Wisconsin,12.6%,6.1%,26.9%,54.3%,"Wisconsin
(44.39319000021851, -89.81636999977553)"
732,2000,West Virginia,23.1%,3%,25.3%,48.5%,"West Virginia
(38.66550999958696, -80.71263999973604)"
733,2006,Kentucky,24.3%,4.3%,24.3%,47.2%,"Kentucky
(37.645969999815804, -84.77496999996538)"
734,2008,South Carolina,14.4%,5.6%,25.2%,54.7%,"South Carolina
(33.99855000018255, -81.0452500001872)"
735,2006,California,9.4%,5.5%,24.2%,60.8%,"California
(37.638300000444815, -120.99958999997835)"
736,2003,Maine,19.7%,3.9%,31.1%,45.2%,"Maine
(45.25423000041434, -68.9850299999344)"
737,1997,Kentucky,27.6%,3.1%,23.5%,45.8%,"Kentucky
(37.645969999815804, -84.77496999996538)"
738,2008,Washington,11.7%,4%,26.7%,57.6%,"Washington
(47.522280000022135, -120.47001000026114)"
739,1995,Tennessee,24.2%,1.9%,19.8%,54.1%,"Tennessee
(35.68094000038087, -85.77449000011325)"
740,1997,Utah,11.1%,2.6%,17.2%,69%,"Utah
(39.36070000030492, -111.58712999994941)"
741,2003,Kansas,16.3%,4.1%,23%,56.6%,"Kansas
(38.34774000000118, -98.20077999969709)"
742,1998,Kansas,17.4%,3.7%,21.8%,57.1%,"Kansas
(38.34774000000118, -98.20077999969709)"
743,1997,Delaware,22.3%,4.3%,26.5%,46.9%,"Delaware
(39.00883000020451, -75.57774000040052)"
744,2006,New Jersey,12.3%,5.7%,24.1%,57.9%,"New Jersey
(40.13056999960594, -74.2736899996936)"
745,2001,Virginia,17.9%,4.7%,24.7%,52.8%,"Virginia
(37.54268000028196, -78.45789000012326)"
746,1997,North Dakota,19.7%,2.6%,24.4%,53.3%,"North Dakota
(47.475320000018144, -100.11841999998285)"
747,1998,Idaho,15.8%,4.5%,25.2%,54.6%,"Idaho
(43.682590000228515, -114.36368000023168)"
748,2005,Kentucky,23.5%,5.2%,24%,47.3%,"Kentucky
(37.645969999815804, -84.77496999996538)"
749,1996,South Carolina,21.4%,3%,20.2%,55.3%,"South Carolina
(33.99855000018255, -81.0452500001872)"
750,2005,Virginia,15.3%,5.3%,24.1%,55.2%,"Virginia
(37.54268000028196, -78.45789000012326)"
751,2009,Nevada,15.8%,6.3%,26.5%,51.4%,"Nevada
(39.49323999972637, -117.07183999971608)"
752,1998,South Dakota,22%,5.2%,20.4%,52.4%,"South Dakota
(44.353130000049646, -100.37353000040906)"
753,2002,New York,16.9%,5.4%,25%,52.7%,"New York
(42.82699999955048, -75.54396999981549)"
